,StartDate,EndDate,Status,IPAddress,country,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,consent,workerID,automatrix_check,yourjob,yourskills,yourskills_26_TEXT,pagetime_First Click,pagetime_Last Click,pagetime_Page Submit,pagetime_Click Count,stability1_1,stability2_1,stability3_1,control1_1,control2_1,control3_1,needagency1_1,needagency2_1,needagency3_1,needpower1_1,needpower2_1,needpower3_1,vashlamc_size,vashlamc_values,genattitude1,genattitude2,genattitude3,genattitude4,genattitude5,purchaseintent1,purchaseintent2,purchaseintent3,WTP,WTP_pct,probe_whatabout,probe_susp1,probe_susp2,probe_susp3,finish,ResponseID,result,Group,X55,X56,X57
11,9/11/19 6:17,9/11/19 6:29,0,168.215.91.130,United States,100,709,1,9/11/19 6:29,R_2Xpp0j1IIeeOMIS,3.99714E+16,-8.61295E+17,EN,1,A1SC2RFB9W6BSG,It calculates the probability that a persons job will be automated by 2022 taking in many factors.,Engineer,"7,8,9,10,11,12,13,14,19,21,22,23,24",NA,0,0,15111,0,6,6,6,5,5,5,4,6,5,5,5,5,2,1,7,7,7,7,7,5,5,5,800,7,People's perceptions of automation and how it will impact their lives. This is then related to technically advanced products and how people will perceive them.,I thought the idea of a program that would tell you the chances of your job being automated was very interesting. That would be useful in real life but could be a bad tool for certain people.,"Yes, it made sense for my job what the percent was. I could tell generally what the program would be looking for in terms of providing a final percentage. It is an interesting program.","Yes, it was an interesting company and a technically advanced bike. I was not sure how I would like it, it seems like too much for a bike but I do think it would be cool and I would want to have it.",I understand that during this study the feedback about my job was not true.,R_2Xpp0j1IIeeOMIS,0.97935175,2,NA,NA,NA
12,9/11/19 6:24,9/11/19 6:30,0,75.97.215.133,United States,100,332,1,9/11/19 6:30,R_31uaRdQBo332cqE,4.10115E+16,-7.64384E+17,EN,1,AW0225ONUAPO5,A person selects from a menu and skills are derived to predict an accurate picture for 2022,HS Teacher,"1,7,8,14,20",NA,3452,"3,452",16541,1,7,6,6,5,6,5,5,6,6,5,5,2,1,2,6,8,8,8,7,6,6,5,400,7,ethics and leadership,all good,all made sense,all good,I understood that during this study you received feedback about your job that was not true,R_31uaRdQBo332cqE,0,1,NA,NA,NA
13,9/11/19 6:23,9/11/19 6:31,0,"70,178,202,171",United States,100,471,1,9/11/19 6:31,R_2wNPHZdDGu9Lusr,3.54563E+13,-9.43298E+16,EN,1,A1JVWOBGNA6KJT,It calculates the probability that a job will be significantly automated by the year 2022.,Electrical Supervisor,"3,6,12,14,17,19,20,21",NA,0,0,16308,0,7,7,7,7,7,7,7,6,7,7,6,7,1,2,8,9,8,9,8,6,7,6,1200,9,Perception of automation,Nope.,It did.,"In the context of this study, not really. It seemed out of place. It did make sense in terms of its content, though.",I understand that the result regarding automation of my job is not true.,R_2wNPHZdDGu9Lusr,0,1,NA,NA,NA
14,9/11/19 6:22,9/11/19 6:31,0,"73,167,138,231",United States,100,571,1,9/11/19 6:31,R_1LZgP5zgyKbjBxM,4.36141E+16,-7.29708E+18,EN,1,A2FXD55FJV1RSV,It takes a list of characteristics that are required to complete a job and then calculates the probability that this job will be able to be complete autonomously by 2022.,Computer Programmer,"7,8,10,11,13,20,21,22,24",NA,0,0,15006,0,6,6,7,7,6,6,5,7,6,6,5,5,2,1,8,7,6,7,7,4,5,3,2000,8,I have no idea.,No.,"It made sense to me. I wasn't sure if it was accurate or not, even though the number seemed realistic. Not sure if that's the number that would come out no matter the factors I put in.","Yes, it was very interesting to learn about this new product.",I understand that I received feedback about my job that was not true.,R_1LZgP5zgyKbjBxM,0,2,NA,NA,NA
15,9/11/19 6:20,9/11/19 6:32,0,72.22.225.206,United States,100,684,1,9/11/19 6:32,R_xFxzG4h5444Pmi5,4.25244E+17,-1.13793E+19,EN,1,A1BZ1VD8V8VJML,Takes your job and your job skills and calculates the probability that  your job will become automated by 2022.,Payroll Manager,"7,8,11,16,17,21,23",NA,0,0,15008,0,6,5,4,5,7,7,4,7,7,7,7,7,1,2,9,9,9,9,9,6,6,6,1500,7,Consumer experiences,no,It did make sense.  Job automation is something that really worries me.,It did make sense.  The bicycle was pretty cool.  I'd be interested in how much it costs.,I understand that during this study i received feedback about my job that was not true.,R_xFxzG4h5444Pmi5,0.997375,3,NA,NA,NA
16,9/11/19 6:23,9/11/19 6:32,0,204.145.103.30,United States,100,548,1,9/11/19 6:32,R_RQwIaA2U2PIcbnz,3.02851E+15,-8.18217E+17,EN,1,A35BDRQ915O6VO,it finds the probability that a job will be automated by 2022,Senior Staff accountant,"7,8,9,10,11,13,15,16,19,20,21,23",NA,0,0,16891,0,5,5,5,6,5,6,5,6,6,5,6,4,2,1,9,9,9,9,9,5,5,5,500,7,my decisions,no,i thought it was a good product to have.,yes it did. i liked the product and would buy,yes,R_RQwIaA2U2PIcbnz,0.58716,2,NA,NA,NA
17,9/11/19 6:21,9/11/19 6:32,0,74.139.172.19,United States,100,703,1,9/11/19 6:32,R_3e7U30dMrFVcPsB,3.81405E+14,-8.56936E+13,EN,1,ANSU8XSIM0DIG,It requests the job activities from an employee and then analysis how many of those activities an be automated. It attributes an index of the possibility of the employee's job being done by a robot and thus ending the employment of said person.,chef,"1,4,6,7,11,14,16,17,19,20",NA,0,0,15107,0,7,7,7,7,7,7,7,7,6,7,7,7,3,1,9,9,9,9,9,7,7,7,2000,7,Not sure,no,"Yes, I believe it to be true.",Yes. Seems like a great bike. I can see those extras being added to a bike.,I understand that during this study I received feedback about my job that was not true.,R_3e7U30dMrFVcPsB,0.18,2,NA,NA,NA
18,9/11/19 6:18,9/11/19 6:33,0,"47,188,198,162",United States,100,885,1,9/11/19 6:33,R_6QhsZQkQJeuaZ9L,3.30176E+17,-9.69926E+17,EN,1,A1Q6BCD26I084Z,It predicts if the persons job will be automated by the year 2022,Photographer,"3,11,14,21",NA,0,0,15008,0,5,6,6,4,5,5,4,5,6,6,4,6,1,1,9,9,9,9,9,7,7,7,350,8,If feeling useless in the future would impact our willingness to buy a product,I thought the bicycle was really cool.,"It made sense in some aspects, I just wish I had a better understanding on how the algorithm worked.","I thought it was a good idea. Yes, it made sense.",I understand that the feedback I received about my job was not true.,R_6QhsZQkQJeuaZ9L,0.2268,4,NA,NA,NA
19,9/11/19 6:19,9/11/19 6:33,0,72.189.43.249,United States,100,846,1,9/11/19 6:33,R_3Gp46MHQlIAwFhy,2.83056E+15,-8.14197E+18,EN,1,A3KYEREPRMOTS4,It figures the probability that a persons job will be replaced with automation by 2020.,Support Lead,"3,7,8,9,11,12,15,16,17,20",NA,0,0,15108,0,5,5,6,6,6,6,5,5,6,5,4,5,1,2,7,7,7,7,8,6,6,6,120,8,Your perception of an outcome or a product.,No,It didn't really make sense to me. I have to personally interact with customers in order to resolve issues. I cannot see that being automated in 2020. AI just simply isn't that good yet.,I thought the bicycle looked really neat.,I understand that the feedback about my job was not true.,R_3Gp46MHQlIAwFhy,0,3,NA,NA,NA
20,9/11/19 6:22,9/11/19 6:33,0,69.59.65.7,United States,100,659,1,9/11/19 6:33,R_2Et2X6UBDwe1W3O,4.8312E+17,-1.16533E+11,EN,1,A27SRSSZ8JXUHM,It determines the probability that a certain job will be automated by 2022.,Assembler,"1,6,7,11",NA,0,0,15007,0,4,4,2,5,5,7,2,4,7,4,3,3,3,2,4,4,4,4,4,2,2,2,200,6,To test our opinions on two different macroeconomic issues and how we would react to automation of our jobs and how inclined we would be to buy a bike with technological gadgets on it.,Nothing too out of the ordinary.,It made sense.  I think employers are adapting to the high demand workforce by using automation to meet demand.,I think more vehicles will implement features that have security as well as other metrics.,I understand that the feedback I received about my job is not true.,R_2Et2X6UBDwe1W3O,0,3,NA,NA,NA
21,9/11/19 6:18,9/11/19 6:33,0,"207,131,207,202",United States,100,889,1,9/11/19 6:33,R_3eeoPTnoRTad0Ix,4.02459E+17,-8.33603E+18,EN,1,A1KJ8KD797U25L,"It takes a person's job duties, and uses a complex mathematical algorithm to determine if their job will be automated by 2022.",Manufacturing Process Engineer,"7,8,9,10,11,12,13,14,15,16,17,18,19,21,24",NA,0,0,15018,0,6,6,6,6,6,6,3,5,5,7,5,4,2,1,5,6,6,5,7,3,3,3,500,7,Determining how individuals feel about certain macroeconomic principles. The first part about employment evaluated our future outlook based on the likelihood that our job would be automated. The second part about consumption evaluated how we perceive a product from a new small company with innovative new features.,The job automation likelihood was intriguing.,I think it was a black box. I would like to know more about the algorithm and how they determine if certain tasks will be automated. It made sense to me otherwise.,The company itself was intriguing but the features were not appealing to me due to the added weight. Overall it made sense.,I understand that the feedback about my job was not true.,R_3eeoPTnoRTad0Ix,0,2,NA,NA,NA
22,9/11/19 6:23,9/11/19 6:34,0,70.15.37.250,United States,100,662,1,9/11/19 6:34,R_2U3hYZx5nj4ERA5,4.05995E+17,-7.53763E+17,EN,1,AMIPQMYV4SV8K,Calculates the probability that a job will become substantially automated by 2022.,teacher,"1,4,5,7,9,11,13,14,16,17,19,20,21",NA,0,0,15038,0,3,2,2,6,5,6,4,7,6,6,6,5,1,2,8,8,7,8,8,6,6,6,500,7,not sure,no,The data made sense although I'm not sure I agree with the results.,The information made sense.,I understand that I received feedback about my job that was not true.,R_2U3hYZx5nj4ERA5,0,3,NA,NA,NA
23,9/11/19 6:26,9/11/19 6:34,0,204.193.82.252,United States,100,467,1,9/11/19 6:34,R_3kMKbyxqKJMoaH9,4.16825E+14,-7.12676E+18,EN,1,AVKYS273GAXRM,It predicts the probability that a job will be automated by the year 2022,pharmacist,"7,8,9,10,11,13,16,17,19,21,26",Comprehensive drug and medical knowledge,0,0,15009,0,6,2,2,3,5,5,3,6,6,6,6,5,2,1,8,8,9,9,8,6,6,6,500,10,Decisions based on new technology,"I did not think my job would be automated to the extent the program did, but I also think that number may have been generated so that I could answer the questions as if it was going to be automated regardless of the job you put in the program",I thought it seemed high for my position,It looks like an awesome bike,I understand the info about the job was not true,R_3kMKbyxqKJMoaH9,0,4,NA,NA,NA
24,9/11/19 6:19,9/11/19 6:34,0,74.70.170.251,United States,100,939,1,9/11/19 6:34,R_2PsXm6pLN3faNd2,4.27089E+16,-7.32036E+17,EN,1,A3I55L67X0MWC4,It evaluates whether a person's job will be replaced by an automated worker by the year 2022.  It does this by evaluating a job based on its specific attributes and determines the probability of whether this job will be eliminated.,librarian,"7,8,9,11,12,13,14,15,16,17,18,19,20,21",NA,0,0,15127,0,2,3,2,6,5,5,5,5,5,3,2,4,2,1,9,8,8,8,9,6,6,6,300,8,Studying consumers views toward different macroeconomic topics.,"I thought both ideas that were presented were very intriguing, especially the automatrix.","Yes, I find the whole idea very interesting.  I wonder how accurate it is in predicting whether jobs will become automated.","Yes, the bicycle had some good ideas.  I'm just wondering if it is necessary to have the built in GPS and health sensor because most people would just rely on their smartphone for that information.",I understand that the feedback that I received is not true.,R_2PsXm6pLN3faNd2,0.3402,4,NA,NA,NA
25,9/11/19 6:23,9/11/19 6:34,0,"66,193,171,226",United States,100,700,1,9/11/19 6:34,R_1lc6meTQULzV9bP,2.85464E+17,-8.12585E+17,EN,1,A2BL6ZVUM0B9C8,it calculates the probability that a job position will eventually be overcome by autmation.,Graphic Designer,"3,4,11,12,14,17,20,21,22,24",NA,0,0,15008,0,6,6,6,7,7,6,7,7,6,6,5,4,3,2,8,7,8,8,8,6,6,6,500,5,views on economics,no,yes,yes,i understand that i received feedback about my job that was not true.,R_1lc6meTQULzV9bP,0.94436,1,NA,NA,NA
26,9/11/19 6:23,9/11/19 6:35,0,"86,129,118,197",United Kingdom,100,677,1,9/11/19 6:35,R_yqgjPwdThlQvnDH,5.38167E+17,-3.05E+16,EN,1,AULSRNSXS3N1V,Determines how likely someone's job is to become automated in the future.,Learning Systems Coordinator,"6,7,8,10,14,16,20,21,22",NA,0,0,16.54,0,2,5,5,6,6,6,6,7,7,7,6,6,1,2,7,7,7,6,7,3,3,3,300,3,I honestly do not know. There wasn't much inclination as to what was being looked at,"The qualification questions about bicycles were strange. I'm sure it had something to do with the demographic you were looking at, but I am still curious.","Yes, it seemed to make a decision in line with what I was thinking.","Yes, it was perfectly clear. As someone who is an avid biker it made perfect sense.",I understand that the feedback about my job was not true.,R_yqgjPwdThlQvnDH,0.3852,1,NA,NA,NA
27,9/11/19 6:18,9/11/19 6:35,0,71.112.187.83,United States,100,1013,1,9/11/19 6:35,R_3Jk2U4e5ynvVGXD,4.05037E+16,-8.00683E+15,EN,1,A324VBRLXHG5IB,It shows the probability that your skills and job will be/can be automated by 2022,data processing,"7,8,9,11,19,21",NA,0,0,15.11,0,5,5,6,4,2,6,2,5,4,2,2,2,3,2,8,8,8,8,9,5,6,6,300,7,"I'm not really sure, there was a big difference between my job and bicycles. Maybe it is about job security and how it effects a purchase?",It moved at a fast pace and the questions were interesting. I liked the job automation matrix.,The Automatrix program is something I'd be interested in playing around with outside of the HIT. There are other jobs I'd be interested in getting feedback on!,"If my FitBit and recumbent bike can tell me my calories burned and other information, my bicycle should be able to as well. I also really liked the built in lock.",I understand that the feedback I received was not true.,R_3Jk2U4e5ynvVGXD,0.6536,1,NA,NA,NA
28,9/11/19 6:16,9/11/19 6:35,0,190.242.26.84,Honduras,100,1107,1,9/11/19 6:35,R_24pxbJgtzUydCjS,1.41006E+17,-8.72152E+18,EN,1,A2J6S7QR4CGXTW,Users fill out a form or survey and takes answers and puts them in an Automatix to see if if there job is at risk for automation by 2020.,IT Admin,"1,2,3,6,9,11,13,15,16,19,22,23,24",NA,0,0,15106,0,7,7,7,7,5,7,3,5,6,6,6,6,1,2,9,9,9,9,9,7,7,7,250,8,See how people think about automation and the bike company.,NO,I loved it. I really think this is important for people to see and get prepared for. That way they can get retained in other areas or maybe change careers.,Yes I really liked it. It has some really great features.,I understand that the information I received was not true.,R_24pxbJgtzUydCjS,0,1,NA,NA,NA
29,9/11/19 6:19,9/11/19 6:35,0,45.17.54.30,United States,100,972,1,9/11/19 6:35,R_1r2Z07uWyYpbskP,3.35815E+17,-8.58328E+18,EN,1,A1OZN075MPLC9V,tries to show when jobs will be taken over by automation,delivery driver,4,NA,3258,"3,258",15012,1,4,3,3,3,6,6,5,6,5,4,3,3,2,1,8,9,9,9,9,5,5,5,350,6,jobs and services,none,it did and Im sure its pretty close to what it predicts,it did  and they look to be high quality,i understand the info was false about my job,R_1r2Z07uWyYpbskP,0,2,NA,NA,NA
30,9/11/19 6:19,9/11/19 6:36,0,174.86.252.156,United States,100,1040,1,9/11/19 6:36,R_1BVCSBypAI3XMPw,3.85423E+15,-8.99588E+15,EN,1,A38TZK07ON180S,calculates the probability that someone's job will be automated by 2022,Quality Assurance,"6,7,8,9,10,11,19,20",NA,0,0,15009,0,1,1,1,6,5,6,7,7,2,4,1,7,2,1,7,7,7,7,7,5,6,6,750,6,macroeconomics,no,I thought it was fabricated,"yes, it did and it was interesting",I understand the feedback was not true,R_1BVCSBypAI3XMPw,0.315,4,NA,NA,NA
31,9/11/19 6:24,9/11/19 6:37,0,76.25.160.204,United States,100,797,1,9/11/19 6:37,R_DUjZXGkamxF9BxD,3.87893E+13,-1.04822E+18,EN,1,A1G94QON7A9K0N,decides how likely a person's job will be gone from automation by 2022.  it calculates factors the person adds.,CNA,"1,4,6,7,8,11,12,16",NA,6014,"10,912",16938,5,1,1,1,2,1,1,7,7,7,3,5,2,1,2,7,7,7,6,7,3,4,3,150,6,What people's feelings are about the bike and job security,no,it made sense but it would make people unhappy,it made sense and it sounded like a good company but the bike wasn't pretty,I have understood that during this study I received feedback about my job that was not true.,R_DUjZXGkamxF9BxD,0.15,3,NA,NA,NA
32,9/11/19 6:28,9/11/19 6:37,0,"73,204,204,172",United States,100,553,1,9/11/19 6:37,R_2Tugok2uRZ35QrI,2.50865E+17,-8.04473E+18,EN,1,A3P9OTCAYB6E9V,Calculates the likelihood a job will be automated in the future.,Data Entry,"7,8,13,21",NA,0,0,15106,0,2,2,2,5,3,5,2,5,5,3,4,3,2,1,8,8,8,7,7,5,5,7,250,8,"I have no idea, maybe attitudes towards technology",Nothing stands out to me as interesting or unusual. Oh I did think that locking the bicycle wheels wouldn't be that helpful a thief could still just pick it up and throw it in the back of a truck,"It made sense, I worry about that frequently with this type of work",It was clear and made sense,I understand that this survey did not have any real insight on my job,R_2Tugok2uRZ35QrI,0,4,NA,NA,NA
33,9/11/19 6:18,9/11/19 6:37,0,99.203.80.227,United States,100,1163,1,9/11/19 6:37,R_2vdcji7tkWBFCaB,3.92151E+17,-7.6754E+16,EN,1,ADCUK2AHXYSBJ,It calculates the probability that a person's job will become automated in the next few years.,Education Director,"9,11,12,13,14,15,16,17,19,20",NA,0,0,15019,0,7,6,6,7,7,7,5,7,7,7,4,6,2,1,7,8,8,7,8,6,6,6,700,6,I am not sure what it was about.,"No, nothing was unusual or odd.","It made sense but I suspect it was not accurate. However, I do believe the results was accurate about my job. My job has a low percentage to become automated.",Yes it made sense to me. I believe there are bike companies that offer bicycle s that will have these features on their bikes.,I understand the information I received was not true.,R_2vdcji7tkWBFCaB,0,2,NA,NA,NA
34,9/11/19 6:25,9/11/19 6:38,0,73.120.232.92,United States,100,773,1,9/11/19 6:38,R_z0xRAYkJzxlAoI9,4.15899E+15,-8.73732E+16,EN,1,A2N2GFB33ZMYGF,Calculate the probability of a person's job being automated by the year 2022,Technical Support,"6,11,21,22",NA,0,0,15007,0,3,2,2,5,5,6,6,7,7,7,6,7,1,2,8,9,9,9,8,6,6,7,300,8,How people make decisions.,"Yes, I think everybody got the same number.",It did not make sense to me.,"No, because the bike did not match the company information.",I understood that during this study you received feedback about your job that was not true,R_z0xRAYkJzxlAoI9,0.15,3,NA,NA,NA
35,9/11/19 6:25,9/11/19 6:38,0,98.103.23.140,United States,100,803,1,9/11/19 6:38,R_PwalwViOAAfs6fn,4.01104E+17,-8.31131E+15,EN,1,AUSX67YB5MXQX,It uses a complicated algorithm to determine the probability of a specific job becoming automated by the year 2022.,IT Support Manager,"7,8,11,12,13,14,16,17,18,19,20,22",NA,0,0,15.01,0,7,7,6,6,7,6,6,7,7,7,7,5,1,1,8,9,8,8,8,6,6,6,400,10,"No idea. At first I thought it was about economics, then about bicycles, then about automation. Nothing seemed congruent.",I don't think the program that was mentioned in the first part was real.,"It made sense, however I do not think it was real. It appeared as if I was being tested to see how I would respond to the program's findings.",It made a lot of sense. The design of the bike incorporated many desirable features.,I understand that the feedback regarding the information presented to me about the possibility of my job becoming automated is not true.,R_PwalwViOAAfs6fn,0.91816,2,NA,NA,NA
36,9/11/19 6:26,9/11/19 6:38,0,174.207.12.201,United States,100,696,1,9/11/19 6:38,R_2EiuXbKJN3hZOnj,3.03643E+17,-9.76864E+14,EN,1,A30YR5TPOKQYXJ,The main thing is that it helps a business to run in a more better way.,caregiver,"4,5,7,9",NA,0,0,15116,0,6,6,1,6,7,7,7,6,7,7,7,7,2,1,7,7,8,7,7,6,5,5,100,6,I think it was truly about how people see their life and what they want.,no,"I don't think that it was true. Being a caregiver will always be a human thing, I hope.",Yes it was very interesting. I rather like the bike.,I understand.,R_2EiuXbKJN3hZOnj,0,3,NA,NA,NA
37,9/11/19 6:29,9/11/19 6:40,0,71.76.243.180,United States,100,636,1,9/11/19 6:40,R_2tgpYsFafaMkNvO,3.58726E+17,-8.00929E+18,EN,1,A2WPKP73S4MBLK,It calculates the probability of an individual's job being automated by the year 2022. It essentially determines the probability of each skill necessary for a particular job being automated by the year 2022 and then compiles those probabilities together.,Art Director,"7,9,11,12,13,14,16,17",NA,0,0,15007,0,2,3,2,5,3,5,3,5,6,5,5,6,1,2,9,9,9,9,9,7,7,7,1200,8,Exploring how people respond to automation and how much control over their own destinies people seek.,The bicycle I viewed was exceedingly appealing.,"It made a large amount of sense. I think 2022 is an overly aggressive and unlikely projection, but I do think that automation will gradually increase throughout the American workplace over the next decade.",It made a lot of sense to me and I thought the bicycle was immensely appealing. Those features would ensure I'd consider purchasing such a model.,I understand that during this study I received feedback about my job that is not true.,R_2tgpYsFafaMkNvO,0,3,NA,NA,NA
